,Timestamp,Age ,Gender ,Income , Occupation,Fav_Pub,WTS,Freq,Prim_Imp,Sec_Imp,Stratum,Lifestyle,Occasions
0,2017/02/25 10:52:03 PM GMT+4,19,Male,100000.0,Student,Station,2000.0,Several times in a month,Environment,Menu,Capital,Nightlife,Hang outs with friends
1,2017/02/25 10:53:19 PM GMT+4,19,Female,50000.0,Student,Calumet,2000.0,rarely (once two week/or a month),Music,Pricing,Capital,Adventure/traveling/exploring,Hang outs with friends
2,2017/02/25 10:54:05 PM GMT+4,20,Male,100000.0,Student,Liberty,3000.0,rarely (once two week/or a month),Environment,Music,Capital,"Busy(student life, work)",Hang outs with friends
3,2017/02/25 10:55:09 PM GMT+4,18,Male,0.0,Student,Calumet,3000.0,Several times in a month,Environment,Music,Capital,Art,Hang outs with friends
4,2017/02/25 10:55:38 PM GMT+4,19,Female,130000.0,Student + working,Liberty,10000.0,rarely (once two week/or a month),Pricing,Environment,Capital,,Hang outs with friends
5,2017/02/25 10:55:39 PM GMT+4,19,Male,90000.0,Student,Station,2000.0,Several times a week,Environment,Menu,Capital,Adventure/traveling/exploring,Hang outs with friends
6,2017/02/25 10:55:41 PM GMT+4,18,Female,0.0,Student,Irish,1000.0,Several times in a month,Environment,Music,Capital,Art,Hang outs with friends
7,2017/02/25 10:55:45 PM GMT+4,19,Female,0.0,Student,Station,2000.0,Several times in a month,Environment,Pricing,Capital,"Busy(student life, work)",Hang outs with friends
8,2017/02/25 10:56:17 PM GMT+4,19,Male,80000.0,Student + working,I don't like pubs,10000.0,rarely (once two week/or a month),Environment,Music,Capital,Adventure/traveling/exploring,Hang outs with friends
9,2017/02/25 10:56:45 PM GMT+4,19,Male,150000.0,Student,Irish,3000.0,Several times in a month,Environment,Music,Capital,Nightlife,Hang outs with friends
10,2017/02/25 10:56:52 PM GMT+4,20,Female,80000.0,Student,I don't like pubs,3000.0,rarely (once two week/or a month),Environment,Menu,Capital,Art,Special events/parties
11,2017/02/25 10:56:56 PM GMT+4,18,Male,90000.0,Student,Venue,0.0,rarely (once two week/or a month),Environment,Music,Capital,Sport,Hang outs with friends
12,2017/02/25 10:57:00 PM GMT+4,18,Female,0.0,Student,Calumet,2000.0,Several times a week,Environment,Music,Capital,Adventure/traveling/exploring,Hang outs with friends
13,2017/02/25 10:57:58 PM GMT+4,19,Male,200000.0,Working,VOID,5000.0,Several times in a month,Environment,Pricing,Capital,Nightlife,Special events/parties
14,2017/02/25 10:58:12 PM GMT+4,19,Male,120000.0,Student,DAS,2000.0,Several times in a month,Environment,Pricing,Urban,Art,Hang outs with friends
15,2017/02/25 10:58:19 PM GMT+4,17,Female,30000.0,Student,Station,5000.0,Several times in a month,Music,Pricing,Capital,Adventure/traveling/exploring,Hang outs with friends
